"nazev","adresa"
"Základní škola Žďár nad Sázavou, Švermova 4","Švermova 1132 , Žďár nad Sázavou 591 01"
"Základní škola Velké Meziříčí, Oslavická 1800/20","Oslavická 1800 , Velké Meziříčí 594 01"
"Základní škola a Mateřská škola Písečné, příspěvková organizace","30 , Písečné 593 01"
"Základní škola a Mateřská škola Dalečín, příspěvková organizace","107 , Dalečín 592 41"
"Základní škola a Mateřská škola Doubravník, okres Brno-venkov, příspěvková organizace","107 , Doubravník 592 61"
"Základní škola a mateřská škola Fryšava pod Žákovou horou, příspěvková organizace","100 , Fryšava pod Žákovou horou 592 04"
"Základní škola Netín, okres Žďár nad Sázavou","14 , Netín 594 44"
"Základní škola a Mateřská škola Nová Ves u Nového Města na Moravě, okres Žďár nad Sázavou, příspěvková organizace","70 , Nová Ves u Nového Města na Moravě 592 31"
"Základní škola a Mateřská škola Radňovice, příspěvková organizace","54 , Radňovice 592 31"
"Základní škola a Mateřská škola Zubří, okres Žďár nad Sázavou, příspěvková organizace","77 , Zubří 592 31"
"Základní škola a Mateřská škola Olší, okres Brno- venkov","14 , Olší 592 61"
"Základní škola a Mateřská škola Radešínská Svratka, okres Žďár nad Sázavou, příspěvková organizace","95 , Radešínská Svratka 592 33"
"Základní škola a Mateřská škola Řečice, příspěvková organizace","93 , Řečice 592 33"
"Základní škola a mateřská škola Sázava, příspěvková organizace","80 , Sázava 592 11"
"Základní škola a Mateřská škola Škrdlovice, příspěvková organizace","110 , Škrdlovice 591 01"
"Základní škola a Mateřská škola Katov, příspěvková organizace","11 , Katov 594 55"
"Základní škola Lavičky, okres Žďár nad Sázavou, příspěvková organizace","62 , Lavičky 594 01"
"Základní škola a mateřská škola Velké Meziříčí, Lhotky 42, příspěvková organizace","42 , Velké Meziříčí 594 01"
"Základní škola a mateřská škola Oslavice, příspěvková organizace","67 , Oslavice 594 01"
"Základní škola a mateřská škola Ruda, příspěvková organizace","58 , Ruda 594 01"
"Základní škola a Mateřská škola Věcov, okres Žďár nad Sázavou, příspěvková organizace","66 , Věcov 592 44"
"Základní škola a Mateřská škola Vír, okres Žďár nad Sázavou, příspěvková organizace","58 , Vír 592 66"
"Základní škola Vojnův Městec, okres Žďár nad Sázavou, příspěvková organizace","95 , Vojnův Městec 591 01"
"Základní škola a Mateřská škola Hamry nad Sázavou, příspěvková organizace","133 , Hamry nad Sázavou 591 01"
"Základní škola a Mateřská škola Světnov, příspěvková organizace","46 , Světnov 591 02"
"Základní škola a mateřská škola Velké Meziříčí, Mostiště 50, příspěvková organizace","50 , Velké Meziříčí 594 01"
"ZÁKLADNÍ ŠKOLA ZVOLE","84 , Zvole 592 56"
"Základní škola Lísek, okres Žďár nad Sázavou","80 , Lísek 592 45"
"Základní škola a Mateřská škola Dobrá Voda, příspěvková organizace","96 , Dobrá Voda 594 51"
"Základní škola a Mateřská škola Křižánky, příspěvková organizace","92 , Křižánky 592 02"
"Základní škola a Mateřská škola Křídla, okres Žďár nad Sázavou, příspěvková organizace","52 , Křídla 592 31"
"Základní škola a mateřská škola Vepřová, příspěvková organizace","46 , Vepřová 592 11"
"Základní škola a Mateřská škola Moravec, příspěvková organizace","45 , Moravec 592 54"
"Základní škola Ostrov nad Oslavou, okres Žďár nad Sázavou, příspěvková organizace","93 , Ostrov nad Oslavou 594 45"
"Základní škola Pavlínov okres Žďár nad Sázavou","44 , Pavlínov 594 01"
"Základní škola a Mateřská škola Unčín, příspěvková organizace","51 , Unčín 592 42"
"Základní škola Prosetín a Mateřská škola Prosetín, okres Žďár nad Sázavou, příspěvková organizace","70 , Prosetín 592 64"
"Základní škola Rozsochy, okres Žďár nad Sázavou, příspěvková organizace","64 , Rozsochy 592 57"
"Základní škola Hany Benešové a Mateřská škola Bory, příspěvková organizace","161 , Bory 594 61"
"Základní škola a Mateřská škola Brantice, okres Bruntál, příspěvková organizace","252 , Brantice 793 93"
"Základní škola a Mateřská škola Dolní Moravice, okres Bruntál, příspěvková organizace","7 , Dolní Moravice 795 01"
"Základní škola a Mateřská škola Hošťálkovy, okres Bruntál, příspěvková organizace","22 , Hošťálkovy 793 81"
"Základní škola a Mateřská škola Huzová, okres Olomouc, příspěvková organizace","256 , Huzová 793 51"
"Základní škola Malá Morávka, okres Bruntál, příspěvková organizace","89 , Malá Morávka 793 36"
"Základní škola a Mateřská škola Ryžoviště, okres Bruntál, příspěvková organizace","Rýmařovská 282 , Ryžoviště 793 56"
"Základní škola a Mateřská škola Slezské Rudoltice, příspěvková organizace","120 , Slezské Rudoltice 793 97"
"Základní škola a Mateřská škola Úvalno, okres Bruntál, příspěvková organizace","19 , Úvalno 793 91"
"Základní škola Svobodné Heřmanice, okres Bruntál","Sokolovská 201 , Svobodné Heřmanice 793 12"
"Základní škola a Mateřská škola Lomnice, okres Bruntál, příspěvková organizace","24 , Lomnice 793 02"
"Základní škola Bruntál, Jesenická 10","Jesenická 1284 , Bruntál 792 01"
"Základní škola Bruntál, Cihelní 6","Cihelní 1620 , Bruntál 792 01"
"Základní škola Břidličná, okres Bruntál","Komenského 360 , Břidličná 793 51"
"Základní škola a mateřská škola Dvorce, okres Bruntál, příspěvková organizace","Olomoucká 336 , Dvorce 793 68"
"Základní škola a Mateřská škola Holčovice, příspěvková organizace","176 , Holčovice 793 71"
"Základní škola a Mateřská škola Horní Benešov, okres Bruntál, příspěvková organizace","Školní 338 , Horní Benešov 793 12"
"Základní škola a Mateřská škola Horní Město, okres Bruntál, příspěvková organizace","231 , Horní Město 793 44"
"Základní škola a Mateřská škola Jindřichov, okres Bruntál","457 , Jindřichov 793 83"
"Základní škola a Mateřská škola Karlovice","143 , Karlovice 793 23"
"Základní škola Krnov, Dvořákův okruh 2, okres Bruntál, příspěvková organizace","Dvořákův okruh 60 , Krnov 794 01"
"Základní škola Krnov, Smetanův okruh 4, okres Bruntál, příspěvková organizace","Smetanův okruh 24 , Krnov 794 01"
"Základní škola Krnov, Janáčkovo náměstí 17, okres Bruntál, příspěvková organizace","Janáčkovo náměstí 1970 , Krnov 794 01"
"Základní škola Krnov, Žižkova 3, okres Bruntál, příspěvková organizace","Žižkova 572 , Krnov 794 01"
"Základní škola a Mateřská škola Lichnov, okres Bruntál, příspěvková organizace","46 , Lichnov 793 15"
"Základní škola Město Albrechtice, okres Bruntál","Opavická 575 , Město Albrechtice 793 95"
"Základní škola Moravský Beroun, okres Olomouc, příspěvková organizace","Opavská 128 , Moravský Beroun 793 05"
"Základní škola a Mateřská škola Osoblaha, příspěvková organizace","Třešňová 99 , Osoblaha 793 99"
"Základní škola a Mateřská škola Razová, příspěvková organizace","353 , Razová 792 01"
"Základní škola Rýmařov, Jelínkova 1, okres Bruntál","Jelínkova 488 , Rýmařov 795 01"
"Základní škola a Mateřská škola Stará Ves, okres Bruntál, příspěvková organizace","Dlouhá 261 , Stará Ves 795 01"
"Základní škola, Andělská Hora, okres Bruntál","215 , Andělská Hora 793 31"
"Základní škola a Mateřská škola Třemešná","341 , Třemešná 793 82"
"Základní škola a Mateřská škola Zátor, příspěvková organizace","86 , Zátor 793 16"
"Základní škola Bruntál, Okružní 38, příspěvková organizace","Okružní 1890 , Bruntál 792 01"
"Základní škola a Mateřská škola, Dětřichov nad Bystřicí okres Bruntál, příspěvková organizace","38 , Dětřichov nad Bystřicí 793 03"
"Základní škola a Mateřská škola Karlova Studánka, okres Bruntál, příspěvková organizace","17 , Karlova Studánka 793 24"
"Základní škola a Mateřská škola Rudná pod Pradědem, příspěvková organizace","121 , Rudná pod Pradědem 793 31"
"Základní škola a Mateřská škola Široká Niva, okres Bruntál, příspěvková organizace","33 , Široká Niva 792 01"
"Základní škola Bruntál, Školní 2","Školní 723 , Bruntál 792 01"
"Základní škola Vrbno pod Pradědem, okres Bruntál, příspěvková organizace","Školní 477 , Vrbno pod Pradědem 793 26"
"Základní škola Vojtěcha Martínka Brušperk, okres Frýdek-Místek","Sportovní 584 , Brušperk 739 44"
"Základní škola a Mateřská škola Bruzovice","212 , Bruzovice 739 36"
"Základní škola a mateřská škola s polským jazykem vyučovacím Bukovec, příspěvková organizace","66 , Bukovec 739 85"
"Základní škola a Mateřská škola Bukovec, příspěvková organizace","214 , Bukovec 739 85"
"Základní škola a mateřská škola Bystřice 848, okr. Frýdek-Místek, příspěvková organizace","848 , Bystřice 739 95"
"Základní škola a mateřská škola Stanisława Hadyny s polským jazykem vyučovacím Bystřice 366, okr. Frýdek-Místek, příspěvková organizace","366 , Bystřice 739 95"
"Základní škola Čeladná, příspěvková organizace","551 , Čeladná 739 12"
"Základní škola Dobrá, příspěvková organizace","860 , Dobrá 739 51"
"Základní škola a mateřská škola Dobratice, okres Frýdek-Místek, příspěvková organizace","58 , Dobratice 739 51"
"Základní škola a Mateřská škola Dolní Domaslavice, okres Frýdek-Místek, příspěvková organizace","201 , Dolní Domaslavice 739 38"
"Základní škola a Mateřská škola Dolní Lomná 149, příspěvková organizace","149 , Dolní Lomná 739 91"
"Základní škola Fryčovice, okres Frýdek-Místek, příspěvková organizace","628 , Fryčovice 739 45"
"Základní škola Frýdek-Místek, 1. máje 1700","1. máje 1700 , Frýdek-Místek 738 01"
"Základní škola Frýdek-Místek, El. Krásnohorské 2254","El. Krásnohorské 2254 , Frýdek-Místek 738 01"
"Základní škola Frýdek-Místek, Jiřího z Poděbrad 3109","Jiřího z Poděbrad 3109 , Frýdek-Místek 738 01"
"Základní škola a mateřská škola Frýdek-Místek, Lískovec, K Sedlištím 320","K Sedlištím 320 , Frýdek-Místek 738 01"
"Základní škola Frýdek-Místek, Komenského 402","Komenského 402 , Frýdek-Místek 738 01"
"Základní škola Frýdek-Místek, Pionýrů 400","Pionýrů 400 , Frýdek-Místek 738 01"
"Základní škola a mateřská škola Frýdek-Místek - Skalice 192, příspěvková organizace","192 , Frýdek-Místek 738 01"
"Základní škola a mateřská škola Pstruží, příspěvková organizace","104 , Pstruží 739 11"
"Základní škola Frýdlant nad Ostravicí, náměstí T. G. Masaryka 1260, příspěvková organizace","Nám. T. G. Masaryka 1260 , Frýdlant nad Ostravicí 739 11"
"Masarykova Základní škola a mateřská škola Hnojník 120, okres Frýdek-Místek, příspěvková organizace","120 , Hnojník 739 53"
"Základní škola a Mateřská škola Horní Bludovice, příspěvková organizace","202 , Horní Bludovice 739 37"
"Základní škola a Mateřská škola Hrádek 144, okres Frýdek-Místek, příspěvková organizace","144 , Hrádek 739 97"
"Základní škola a Mateřská škola Leoše Janáčka Hukvaldy, příspěvková organizace","162 , Hukvaldy 739 46"
"Základní škola a mateřská škola Frýdek-Místek - Chlebovice, Pod Kabáticí 107, příspěvková organizace","Pod Kabáticí 107 , Frýdek-Místek 739 42"
"Základní škola Jablunkov, Lesní 190, příspěvková organizace","Lesní 190 , Jablunkov 739 91"
"Základní škola a Mateřská škola Písečná, příspěvková organizace","42 , Písečná 739 91"
"Základní škola a Mateřská škola Janovice, okres Frýdek-Místek, příspěvková organizace","410 , Janovice 739 11"
"Základní škola a Mateřská škola Kozlovice, příspěvková organizace","186 , Kozlovice 739 47"
"Základní škola T. G. Masaryka Krmelín, příspěvková organizace","Školní 170 , Krmelín 739 24"
"Základní škola a mateřská škola Lučina, okres Frýdek-Místek, příspěvková organizace","2 , Lučina 739 39"
"Základní škola Mjr. Ambrože Bílka a Mateřská škola Metylovice, příspěvková organizace","620 , Metylovice 739 49"
"Základní škola a mateřská škola Morávka, příspěvková organizace","178 , Morávka 739 04"
"Základní škola a mateřská škola Mosty u Jablunkova 750, příspěvková organizace","750 , Mosty u Jablunkova 739 98"
"Masarykova základní škola Návsí, příspěvková organizace","345 , Návsí 739 92"
"Základní škola a mateřská škola s polským jazykem vyučovacím Návsí, příspěvková organizace","Pod Výtopnou 190 , Návsí 739 92"
"Základní škola a mateřská škola Nošovice, příspěvková organizace","125 , Nošovice 739 51"
"Základní škola a mateřská škola Nýdek, příspěvková organizace","293 , Nýdek 739 95"
"Základní škola a mateřská škola Palkovice, okres Frýdek-Místek, příspěvková organizace","287 , Palkovice 739 41"
"Základní škola Paskov, okres Frýdek-Místek, příspěvková organizace","Kirilovova 330 , Paskov 739 21"
"Základní škola a mateřská škola Písek, příspěvková organizace","184 , Písek 739 84"
"ZÁKLADNÍ ŠKOLA A MATEŘSKÁ ŠKOLA PRŽNO, OKRES FRÝDEK-MÍSTEK, příspěvková organizace","88 , Pržno 739 11"
"Základní škola a mateřská škola Raškovice","18 , Raškovice 739 04"
"Základní škola a Mateřská škola Řepiště, příspěvková organizace","555 , Řepiště 739 32"
"Jubilejní Masarykova základní škola a mateřská škola Sedliště","203 , Sedliště 739 36"
